value,column,description
meble tapicerowane,dozwolone_powierzchnie,"Sofy, fotele i krzesła pokryte tkaniną, mikrofibrą lub innym materiałem obiciowym. Czyszczenie powinno usuwać plamy i zapachy bez nadmiernego moczenia, odbarwień oraz uszkodzenia struktury tkaniny."
mechanizmy ruchome,dozwolone_powierzchnie,"Zespoły elementów pracujących względem siebie, np. przeguby, prowadnice, rolki lub dźwignie, narażone na smar i pył. Czyszczenie musi usuwać zabrudzenia bez wypłukiwania niezbędnego smarowania, chyba że planowana jest ponowna konserwacja."
metal,dozwolone_powierzchnie,"Powierzchnie metalowe, takie jak elementy wyposażenia, urządzeń lub narzędzi, podatne na korozję, matowienie i zacieki. Do ich czyszczenia należy dobierać środki, które nie powodują rdzy ani uszkodzenia powłok ochronnych."
metale,dozwolone_powierzchnie,"Grupa materiałów obejmująca m.in. stal, aluminium, miedź i ich stopy, stosowana w maszynach, narzędziach i wyposażeniu. Przy czyszczeniu ważny jest dobór środka do rodzaju metalu, aby skutecznie usuwać zabrudzenia bez korozji i odbarwień."
metale żelazne,dozwolone_powierzchnie,"Metale zawierające żelazo, np. stal i żeliwo, często spotykane w konstrukcjach, maszynach i narzędziach. Są podatne na rdzewienie, dlatego należy dobierać środki, które skutecznie usuwają brud i olej, ale nie przyspieszają korozji."
mieszalniki,dozwolone_powierzchnie,"Urządzenia do mieszania surowców lub produktów, często ze stali nierdzewnej i z trudno dostępnymi elementami. Czyszczenie musi usuwać osady z powierzchni kontaktowych, łopatek i uszczelek, bez pozostawiania pozostałości środka."
monitory,dozwolone_powierzchnie,"Ekrany urządzeń elektronicznych z delikatną powłoką przeciwodblaskową lub ochronną. Należy czyścić je miękką ściereczką i preparatem bezpiecznym dla elektroniki, bez nadmiaru płynu."
naczepy,dozwolone_powierzchnie,"Elementy transportowe pojazdów ciężarowych, zwykle z metalu, aluminium, tworzyw i plandek. Wymagają środków usuwających brud drogowy, smary i osady bez uszkadzania lakieru, oznakowania ani uszczelek."
naczynia,dozwolone_powierzchnie,"Przedmioty mające bezpośredni kontakt z żywnością, takie jak talerze, szklanki, sztućce i pojemniki. Preparaty do naczyń muszą skutecznie usuwać tłuszcz i resztki jedzenia oraz łatwo spłukiwać się z powierzchni."
nagrzewnice,dozwolone_powierzchnie,"Wymienniki ciepła stosowane w wentylacji, ogrzewaniu lub urządzeniach przemysłowych, zwykle wykonane z metalu. Przy czyszczeniu trzeba usuwać kurz, tłuszcz i osady bez niszczenia lameli, powłok ochronnych oraz elementów elektrycznych."
najazdy,dozwolone_powierzchnie,"Powierzchnie lub rampy służące do wprowadzania pojazdów i sprzętu, często wykonane z metalu lub betonu. Wymagają czyszczenia z oleju, błota i śliskich osadów, aby zachować przyczepność i bezpieczeństwo pracy."
nakrętki,dozwolone_powierzchnie,"Metalowe elementy złączne narażone na smar, rdzę, pył i zabrudzenia montażowe. Przy czyszczeniu ważne jest usunięcie zanieczyszczeń bez naruszania gwintu, powłoki ochronnej lub zabezpieczenia antykorozyjnego."
naleśnikarki,dozwolone_powierzchnie,"Urządzenia gastronomiczne z płytą grzewczą, najczęściej metalową lub żeliwną, na której przypalają się tłuszcz i resztki ciasta. Wymagają środków skutecznych na zapieczenia, ale bezpiecznych dla powierzchni roboczej i zgodnych z zaleceniami producenta urządzenia."
narzędzia,dozwolone_powierzchnie,"Przybory i sprzęt roboczy używany w kuchni, produkcji, sprzątaniu lub warsztacie, narażony na tłuszcz, brud i zanieczyszczenia mikrobiologiczne. Czyszczenie powinno usuwać zabrudzenia bez powodowania korozji, stępienia lub uszkodzenia uchwytów."
narzędzia warsztatowe,dozwolone_powierzchnie,"Ręczne lub mechaniczne narzędzia z metalu, tworzyw i gumy, zabrudzone smarem, olejem, pyłem lub resztkami materiałów. Wymagają środków skutecznie odtłuszczających, ale bezpiecznych dla uchwytów, powłok ochronnych i elementów ruchomych."
nawierzchnie warsztatowe,dozwolone_powierzchnie,"Powierzchnie robocze i podłogowe w warsztatach, narażone na smary, oleje, pył metalowy i ślady opon. Przy czyszczeniu ważne jest odtłuszczenie oraz zachowanie bezpieczeństwa antypoślizgowego."
nawiewy samochodowe,dozwolone_powierzchnie,"Kratki i kanały, przez które powietrze trafia do kabiny samochodu. Przy czyszczeniu ważne jest dotarcie preparatu do trudno dostępnych miejsc i brak tłustych osadów na plastikach oraz w układzie wentylacji."
obrabiarki,dozwolone_powierzchnie,"Maszyny do obróbki metalu lub innych materiałów, takie jak tokarki, frezarki czy szlifierki, często pokryte chłodziwem, olejem i opiłkami. Czyszczenie wymaga środków odtłuszczających bezpiecznych dla metalu, prowadnic, uszczelnień i powłok lakierowanych."
obudowy kuchenne,dozwolone_powierzchnie,"Fronty i zewnętrzne części urządzeń lub mebli kuchennych, często zabrudzone tłuszczem i śladami dotyku. Wymagają preparatów odtłuszczających, ale bezpiecznych dla lakieru, laminatu, plastiku lub stali nierdzewnej."
obudowy lusterek,dozwolone_powierzchnie,"Elementy zewnętrzne pojazdu wykonane z lakierowanego tworzywa lub plastiku strukturalnego. Wymagają delikatnego czyszczenia, aby nie zarysować powłoki i nie uszkodzić uszczelek wokół lusterka."
odporne na alkalia,dozwolone_powierzchnie,"Powierzchnie, które tolerują środki zasadowe, używane do usuwania tłuszczu, oleju i ciężkich zabrudzeń organicznych. Mimo odporności należy przestrzegać zalecanego stężenia i czasu kontaktu, aby nie uszkodzić powłok lub fug."
odporne na kwasy,dozwolone_powierzchnie,"Powierzchnie, które mogą być czyszczone preparatami kwaśnymi bez ryzyka uszkodzenia, np. wybrane płytki, gres lub stal kwasoodporna. Oznaczenie jest ważne, bo kwasy skutecznie usuwają kamień i rdzę, ale mogą niszczyć marmur, wapień, fugi cementowe lub delikatne metale."
odporne na odtłuszczacze,dozwolone_powierzchnie,"Powierzchnie lub materiały, które dobrze znoszą kontakt ze środkami usuwającymi oleje i smary. Mimo odporności warto przestrzegać zalecanego stężenia i czasu działania, aby uniknąć matowienia, odbarwień lub osłabienia powłok."
odporne na wodę,dozwolone_powierzchnie,"Powierzchnie niewrażliwe na kontakt z wodą podczas mycia, np. płytki, stal nierdzewna lub zabezpieczone tworzywa. Można je czyścić metodami na mokro, pamiętając o usunięciu nadmiaru wody z miejsc łączeń i szczelin."
odporne na wybielacze,dozwolone_powierzchnie,"Powierzchnie lub materiały, które można bezpiecznie czyścić środkami zawierającymi wybielacze, np. chlorowe lub tlenowe. Mimo odporności należy stosować zalecane stężenia, aby uniknąć odbarwień, korozji lub uszkodzeń sąsiednich elementów."
odpływy,dozwolone_powierzchnie,"Odpływy to kratki, syfony i rury odprowadzające wodę, narażone na tłuszcz, osady, włosy i nieprzyjemne zapachy. Preparaty do ich czyszczenia muszą rozpuszczać zatory, a jednocześnie być bezpieczne dla instalacji."
odzież,dozwolone_powierzchnie,"Ubrania noszone na co dzień lub roboczo, wykonane z różnych rodzajów tkanin i dzianin. Środki do prania i odplamiania powinny być dobrane do koloru, włókna i rodzaju zabrudzeń, aby chronić wygląd oraz trwałość odzieży."
odzież robocza,dozwolone_powierzchnie,"Ubrania używane podczas pracy, narażone na pot, brud, tłuszcz, pyły i zabrudzenia technologiczne. Wymagają środków piorących skutecznych wobec typowych zabrudzeń zawodowych, ale bezpiecznych dla tkanin i elementów odblaskowych."
okapy,dozwolone_powierzchnie,"Elementy wentylacyjne nad kuchenkami, na których gromadzi się tłuszcz, para i osady kuchenne. Zwykle wymagają środków odtłuszczających, ale bezpiecznych dla metalu, stali nierdzewnej lub lakierowanych powierzchni."
opiekacze,dozwolone_powierzchnie,"Urządzenia grzewcze do zapiekania potraw, zwykle z płytami metalowymi lub powłoką nieprzywierającą. Wymagają preparatów usuwających tłuszcz i przypalenia, ale łagodnych dla powłok oraz stosowanych po odłączeniu urządzenia od zasilania."
opony,dozwolone_powierzchnie,"Gumowe elementy kół narażone na błoto, sól, oleje i osady drogowe. Do czyszczenia wymagają preparatów bezpiecznych dla gumy, które nie powodują jej przesuszenia, pękania ani utraty elastyczności."
osprzęt silnika,dozwolone_powierzchnie,"Elementy znajdujące się przy silniku, takie jak przewody, obudowy, alternator czy elementy metalowe i gumowe. Przy czyszczeniu wymagają środków odtłuszczających, ale bezpiecznych dla uszczelnień, tworzyw i instalacji elektrycznej."
panele,dozwolone_powierzchnie,"Podłogi panelowe z laminatu, winylu lub drewna warstwowego, stosowane w domach i biurach. Wymagają małej ilości wody i łagodnych środków, aby nie spowodować pęcznienia krawędzi, smug ani uszkodzenia warstwy dekoracyjnej."
panele drzwiowe,dozwolone_powierzchnie,"Elementy drzwi wykonane z tworzyw, lakieru, tapicerki lub oklein, często spotykane w pojazdach i budynkach. Wymagają środka dobranego do materiału, aby nie odbarwić powierzchni ani nie pozostawić smug."
parapety,dozwolone_powierzchnie,"Poziome elementy przy oknach wykonane z kamienia, konglomeratu, PVC, drewna lub metalu. Gromadzą kurz, osady i wilgoć, więc środek powinien być dobrany do materiału, aby nie zostawić plam ani matowienia."
parkiety,dozwolone_powierzchnie,"Podłogi z naturalnego drewna, zwykle lakierowane, olejowane lub woskowane. Potrzebują delikatnego czyszczenia i ograniczonej wilgoci, ponieważ nadmiar wody i agresywna chemia mogą uszkodzić drewno lub jego zabezpieczenie."
parkingi,dozwolone_powierzchnie,"Nawierzchnie betonowe, asfaltowe lub żywiczne narażone na oleje, paliwa, sól drogową i ślady opon. Do czyszczenia dobiera się preparaty skuteczne na zabrudzenia komunikacyjne i bezpieczne dla podłoża."
parowniki,dozwolone_powierzchnie,"Elementy instalacji chłodniczych lub grzewczych, często z lamelami aluminiowymi albo miedzianymi. Wymagają delikatnego czyszczenia, ponieważ zbyt agresywna chemia może uszkodzić cienkie elementy i pogorszyć wymianę ciepła."
patelnie,dozwolone_powierzchnie,"Naczynia kuchenne wykonane ze stali, aluminium, żeliwa lub z powłoką nieprzywierającą. Czyszczenie wymaga ostrożności, bo zbyt agresywne środki lub szorowanie mogą uszkodzić powłokę albo spowodować korozję."
piece,dozwolone_powierzchnie,"Urządzenia grzewcze lub gastronomiczne, w których osadzają się tłuszcz, sadza, przypalenia i pyły. Przy czyszczeniu trzeba dobrać środek do rodzaju powierzchni oraz unikać kontaktu z elementami elektrycznymi i wrażliwymi uszczelkami."
piekarniki,dozwolone_powierzchnie,"Komory i drzwiczki urządzeń grzewczych, gdzie gromadzi się przypalony tłuszcz oraz osady po pieczeniu. Czyszczenie wymaga preparatów do wysokich temperatur i przypaleń, stosowanych zgodnie z instrukcją oraz dokładnie usuwanych przed ponownym użyciem."
pisuary,dozwolone_powierzchnie,"Urządzenia sanitarne narażone na osady z moczu, kamień urynowy i intensywne zapachy. Wymagają preparatów odkamieniających i dezodoryzujących, stosowanych regularnie także przy odpływach."
piwnice,dozwolone_powierzchnie,"Pomieszczenia piwniczne często mają beton, płytki lub surowe posadzki narażone na wilgoć, kurz i pleśń. Przy czyszczeniu ważne jest usuwanie osadów i zapachów bez nadmiernego zawilgocenia powierzchni."
plandeki,dozwolone_powierzchnie,"Elastyczne osłony z tkanin powlekanych PVC lub podobnych materiałów, używane głównie w transporcie. Wymagają preparatów usuwających sadzę, kurz i osady drogowe bez wypłukiwania powłoki ochronnej i pękania materiału."
plastiki samochodowe,dozwolone_powierzchnie,"Elementy z tworzyw sztucznych wewnątrz i na zewnątrz pojazdu, takie jak kokpit, listwy czy zderzaki. Należy używać środków, które nie powodują matowienia, lepkości ani pękania materiału."
pleksi,dozwolone_powierzchnie,"Przezroczyste tworzywo sztuczne, znane też jako szkło akrylowe, lekkie i podatne na zarysowania. Do czyszczenia należy stosować miękkie materiały i łagodne preparaty, ponieważ silne rozpuszczalniki mogą je zmatowić lub spękać."
podjazdy,dozwolone_powierzchnie,"Zewnętrzne nawierzchnie z kostki, betonu, kamienia lub asfaltu, często brudzone błotem, olejem i osadami atmosferycznymi. Wymagają środków odpornych na pracę na zewnątrz i dopasowanych do chłonności materiału."
podwozia,dozwolone_powierzchnie,"Dolne części pojazdów narażone na błoto, sól drogową, oleje i osady eksploatacyjne. Czyszczenie wymaga skutecznego odtłuszczenia, ale z ostrożnością wobec gumy, przewodów, zabezpieczeń antykorozyjnych i elementów elektrycznych."
podzespoły mechaniczne,dozwolone_powierzchnie,"Części współpracujące w maszynach i urządzeniach, np. przekładnie, wałki, sprężyny czy mechanizmy ruchome. Wymagają czyszczenia z oleju, smaru i pyłu bez wypłukiwania potrzebnego smarowania lub uszkadzania precyzyjnych elementów."
podłogi,dozwolone_powierzchnie,"Powierzchnie użytkowe narażone na brud wnoszony z zewnątrz, ścieranie, wilgoć i poślizg. Środek do podłóg powinien być dopasowany do materiału oraz nie pozostawiać warstwy zwiększającej ryzyko poślizgnięcia."
podłogi żywiczne,dozwolone_powierzchnie,"Bezspoinowe posadzki z żywic epoksydowych, poliuretanowych lub podobnych, często stosowane w przemyśle i magazynach. Należy unikać zbyt agresywnych rozpuszczalników i silnych alkaliów, które mogą zmatowić lub osłabić powłokę."
pojazdy,dozwolone_powierzchnie,"Powierzchnie zewnętrzne i wewnętrzne samochodów, w tym lakier, tworzywa, szkło, guma i elementy metalowe. Środek powinien usuwać brud drogowy bez matowienia lakieru, niszczenia uszczelek i smug na szybach."
pojazdy robocze,dozwolone_powierzchnie,"Maszyny i auta używane w pracy, np. w budownictwie, rolnictwie, magazynach lub usługach komunalnych. Ich powierzchnie są narażone na błoto, smary i trudne zabrudzenia, dlatego potrzebują skutecznych, ale bezpiecznych dla lakieru, gumy i tworzyw preparatów."
pojazdy specjalistyczne,dozwolone_powierzchnie,"Pojazdy robocze, komunalne, rolnicze, budowlane lub ratownicze narażone na błoto, oleje, sól, smary i intensywną eksploatację. Preparaty powinny czyścić mocne zabrudzenia, ale być bezpieczne dla lakieru, uszczelek, metalu, hydrauliki i elementów z tworzyw."
pojemniki plastikowe,dozwolone_powierzchnie,"Pojemniki plastikowe są lekkie i praktyczne, ale mogą chłonąć zapachy oraz odbarwiać się od silnych chemikaliów. Wymagają łagodnych środków, które nie matowią tworzywa i są bezpieczne przy kontakcie z żywnością, jeśli dotyczy."
pojemniki szklane,dozwolone_powierzchnie,"Pojemniki szklane są gładkie, niechłonne i odporne na wiele środków, ale łatwo widać na nich smugi i osady. Do mycia najlepiej stosować preparaty dobrze spłukiwalne, bez zapachu i bez pozostałości."
pomieszczenia serwisowe,dozwolone_powierzchnie,"Miejsca napraw i konserwacji sprzętu, gdzie często występują smary, oleje, pył i zabrudzenia techniczne. Czyszczenie powinno usuwać ciężkie zabrudzenia, a jednocześnie nie uszkadzać narzędzi, podłóg i elementów wyposażenia."
porcelana,dozwolone_powierzchnie,"Twardy, szkliwiony materiał używany m.in. w naczyniach i armaturze sanitarnej, odporny, ale podatny na zarysowania przy użyciu silnych ścierniw. Do czyszczenia najlepiej stosować środki usuwające osady bez uszkadzania szkliwa."
poręcze,dozwolone_powierzchnie,"Elementy chwytne przy schodach, korytarzach i ciągach komunikacyjnych, wykonane z metalu, drewna lub tworzywa. Ze względu na częsty kontakt dłoni wymagają regularnego mycia, a często także dezynfekcji."
posadzki,dozwolone_powierzchnie,"Powierzchnie podłogowe z betonu, płytek, żywic, kamienia lub wykładzin przemysłowych, narażone na ruch pieszy i zabrudzenia eksploatacyjne. Dobór środka powinien uwzględniać rodzaj materiału, antypoślizgowość i możliwość mycia ręcznego lub maszynowego."
posadzki betonowe,dozwolone_powierzchnie,"Twarde podłoża mineralne stosowane w halach, garażach i magazynach, często chłonne i podatne na wnikanie olejów oraz brudu. Wymagają środków skutecznych na zabrudzenia techniczne, ale bez nadmiernego pylenia lub degradacji powierzchni."
posadzki magazynowe,dozwolone_powierzchnie,"Podłogi w magazynach, zwykle obciążone ruchem wózków, kurzem, śladami opon i zabrudzeniami transportowymi. Środek czyszczący powinien usuwać brud bez pozostawiania smug i śliskiej warstwy."
posadzki produkcyjne,dozwolone_powierzchnie,"Podłogi w strefach produkcji, narażone na intensywny ruch, pyły, tłuszcze i zabrudzenia procesowe. Czyszczenie powinno być skuteczne, szybkoschnące i dopasowane do wymogów higieny zakładu."
posadzki przemysłowe,dozwolone_powierzchnie,"Wytrzymałe podłogi w halach, magazynach i zakładach, najczęściej betonowe, żywiczne lub ceramiczne. Zwykle wymagają środków usuwających oleje, smary i zabrudzenia techniczne bez niszczenia powłok ochronnych."
posadzki serwisowe,dozwolone_powierzchnie,"Podłogi w strefach napraw i obsługi pojazdów lub maszyn, często zabrudzone płynami eksploatacyjnymi, smarem i kurzem. Wymagają silnego odtłuszczania oraz kontroli poślizgu po myciu."
posadzki twarde,dozwolone_powierzchnie,"Podłogi wykonane z materiałów odpornych mechanicznie, takich jak gres, PVC, kamień, beton lub żywica. Dobór środka zależy od rodzaju posadzki, jej zabezpieczenia i odporności na wodę, zasady lub kwasy."
posadzki warsztatowe,dozwolone_powierzchnie,"Podłogi w warsztatach samochodowych lub technicznych, zwykle wykonane z betonu, żywic albo płytek przemysłowych. Wymagają preparatów usuwających oleje i smary bez niszczenia powłok ochronnych."
powierzchnie błyszczące,dozwolone_powierzchnie,"Gładkie, połyskliwe materiały, na których łatwo widać smugi, odciski palców i zacieki. Wymagają preparatów niewarstwujących się i dobrze odparowujących, aby nie matowić wykończenia."
powierzchnie kuchenne,dozwolone_powierzchnie,"Blaty, półki, fronty i inne miejsca robocze w kuchni, zwykle narażone na tłuszcz, resztki jedzenia i częsty kontakt z dłońmi. Przy czyszczeniu ważne jest stosowanie środków bezpiecznych dla powierzchni mających kontakt z żywnością i dokładne spłukanie, jeśli wymaga tego producent."
powierzchnie matowe,dozwolone_powierzchnie,"Powierzchnie o niepołyskliwym wykończeniu, np. meble, płytki, laminaty lub powłoki lakierowane. Wymagają środków, które nie nabłyszczają punktowo, nie zostawiają smug i nie wycierają struktury wykończenia."
powierzchnie mineralne,dozwolone_powierzchnie,"Materiały pochodzenia mineralnego, np. kamień naturalny, beton, lastryko lub ceramika. Wymagają ostrożnego doboru chemii, ponieważ część z nich, zwłaszcza wapienne kamienie, może reagować z kwasami."
powierzchnie obiektowe,dozwolone_powierzchnie,"Powierzchnie spotykane w budynkach użyteczności publicznej, biurach, hotelach czy placówkach usługowych. Wymagają regularnego, bezpiecznego czyszczenia, które nie uszkadza materiałów i pozwala utrzymać wysoki standard higieny."
powierzchnie pionowe,dozwolone_powierzchnie,"Ściany, fronty, drzwi i inne elementy czyszczone w pozycji pionowej. Najlepiej sprawdzają się środki o dobrej przyczepności, np. pianki lub żele, które nie spływają zbyt szybko."
powierzchnie po polerowaniu,dozwolone_powierzchnie,"Lakier, metal lub inne materiały po procesie wygładzania i nabłyszczania, szczególnie podatne na smugi i mikrozarysowania. Wymagają czystych, delikatnych preparatów oraz miękkich ściereczek, aby utrzymać efekt wykończenia."
powierzchnie ponadpodłogowe,dozwolone_powierzchnie,"Elementy znajdujące się powyżej poziomu podłogi, np. blaty, stoły, parapety, fronty, półki i urządzenia. Wymagają środków dobranych do materiału oraz sposobu użytkowania, szczególnie w miejscach kontaktu z żywnością lub dłońmi."
powierzchnie porowate,dozwolone_powierzchnie,"Materiały chłonne, takie jak beton, fuga, niektóre kamienie, drewno lub tynk, w których zabrudzenia mogą wnikać głębiej. Wymagają środków penetrujących i dokładnego spłukania lub odessania, aby nie pozostawić chemii w porach."
powierzchnie sanitarne,dozwolone_powierzchnie,"Elementy wyposażenia łazienek i toalet, takie jak ceramika, armatura, płytki czy blaty przy umywalkach. Wymagają środków usuwających osady wodne i mydlane, a często także wspierających higienę mikrobiologiczną."
powierzchnie szkliste,dozwolone_powierzchnie,"Twarde, gładkie powierzchnie o wyglądzie szkła lub szkliwa, np. glazura, ceramika szkliwiona czy emalia. Należy czyścić je środkami, które usuwają osady bez rysowania i pozostawiania smug."
powierzchnie szkliwione,dozwolone_powierzchnie,"Gładkie powierzchnie pokryte szkliwem, np. płytki ceramiczne, umywalki lub elementy sanitarne. Są odporne na wiele zabrudzeń, ale środki ścierne i zbyt agresywne preparaty mogą zmatowić połysk."
powierzchnie techniczne,dozwolone_powierzchnie,"Powierzchnie robocze maszyn, urządzeń, instalacji i elementów przemysłowych narażone na oleje, smary, pyły oraz osady produkcyjne. Wymagają środków dopasowanych do materiału, aby skutecznie czyścić bez korozji, odbarwień i uszkodzeń."
powierzchnie zewnętrzne,dozwolone_powierzchnie,"Elewacje, tarasy, chodniki, meble ogrodowe i inne materiały wystawione na deszcz, kurz, glony oraz zanieczyszczenia miejskie. Preparat powinien być dobrany do warunków na zewnątrz i rodzaju podłoża, aby skutecznie czyścił bez uszkodzeń."
powietrze,dozwolone_powierzchnie,"Przestrzeń, w której stosuje się produkty do odświeżania, neutralizacji zapachów lub dezynfekcji aerozolowej. Ważne jest dobranie środka bezpiecznego do wdychania zgodnie z instrukcją i odpowiednie wietrzenie pomieszczenia."
powłoka antyrefleksyjna,dozwolone_powierzchnie,"Cienka warstwa na ekranach lub szkłach ograniczająca odbicia światła. Wymaga łagodnych środków bez agresywnych rozpuszczalników, ponieważ łatwo ją zmatowić lub zetrzeć."
powłoka antystatyczna,dozwolone_powierzchnie,"Warstwa ograniczająca przyciąganie kurzu do powierzchni, np. ekranów, tworzyw i elementów elektronicznych. Należy czyścić ją preparatami niepozostawiającymi tłustego filmu i nieszkodzącymi właściwościom antystatycznym."
powłoki ceramiczne,dozwolone_powierzchnie,"Trwałe powłoki ochronne na lakierze, szkle lub felgach, nadające hydrofobowość i odporność na zabrudzenia. Należy stosować środki, które nie osłabiają efektu ochronnego i nie pozostawiają osadów zmniejszających śliskość powierzchni."
powłoki ochronne,dozwolone_powierzchnie,"Specjalne warstwy zabezpieczające powierzchnie przed zabrudzeniami, wilgocią, ścieraniem lub chemią. Do ich czyszczenia należy używać preparatów zgodnych z typem powłoki, aby nie osłabić jej działania ochronnego."
połączenia gwintowane,dozwolone_powierzchnie,"Miejsca łączenia śrub, nakrętek i złączek, w których gromadzą się rdza, smar, kleje do gwintów lub osady. Czyszczenie powinno usuwać zabrudzenia z rowków gwintu, nie powodując korozji ani zacierania połączenia."
połączenia mechaniczne,dozwolone_powierzchnie,"Miejsca łączenia części maszyn, takie jak zawiasy, mocowania, śruby czy zaciski. Wymagają ostrożnego czyszczenia, aby nie uszkodzić elementów roboczych i nie pogorszyć ich działania."
pralki,dozwolone_powierzchnie,"Urządzenia piorące tekstylia, w których mogą gromadzić się kamień, osady z detergentów, włókna i nieprzyjemne zapachy. Do czyszczenia stosuje się środki do odkamieniania i higienizacji bębna oraz przewodów, bezpieczne dla uszczelek i elementów pralki."
prowadnice,dozwolone_powierzchnie,"Precyzyjne elementy, po których przesuwają się części maszyn, drzwi, szuflad lub urządzeń. Wymagają czyszczenia bez pozostawiania lepkich osadów i bez usuwania warstwy smarnej, jeśli jest potrzebna do prawidłowej pracy."
przedmioty,dozwolone_powierzchnie,"Ogólne określenie różnych rzeczy użytkowych, które mogą wymagać czyszczenia, np. wyposażenia, akcesoriów lub drobnych elementów. Przed użyciem środka warto sprawdzić materiał przedmiotu i odporność na wodę, alkohol, kwasy lub alkalia."
przeguby,dozwolone_powierzchnie,"Ruchome połączenia elementów mechanicznych, często narażone na smar, kurz i wilgoć. Wymagają środków, które czyszczą skutecznie, ale nie blokują ruchu ani nie usuwają całkowicie smaru technicznego."
przemysł farmaceutyczny,dozwolone_powierzchnie,"Obszar produkcji leków i wyrobów medycznych, gdzie czyszczone są powierzchnie o bardzo wysokich wymaganiach higienicznych. Preparaty muszą usuwać zanieczyszczenia, nie zostawiać niepożądanych pozostałości i wspierać kontrolę ryzyka skażenia."
przemysł samochodowy,dozwolone_powierzchnie,"Obszar zastosowań obejmujący czyszczenie części, karoserii, narzędzi, posadzek i stanowisk w warsztatach oraz produkcji pojazdów. Preparaty muszą usuwać smary, oleje i zabrudzenia drogowe, a jednocześnie być bezpieczne dla lakieru, metalu, gumy i tworzyw."
pvc,dozwolone_powierzchnie,"Tworzywo sztuczne stosowane w wykładzinach, listwach i elementach wyposażenia. Wymaga preparatów, które nie odbarwiają, nie rozpuszczają powierzchni i nie pozostawiają lepkiej warstwy."
płytki,dozwolone_powierzchnie,"Powierzchnie ceramiczne lub gresowe stosowane na podłogach i ścianach, często odporne na wilgoć. Przy czyszczeniu należy uwzględnić fugi, które mogą chłonąć zabrudzenia i być wrażliwsze na silne środki niż sama płytka."
płytki ceramiczne,dozwolone_powierzchnie,"Twarde okładziny ścienne i podłogowe odporne na wilgoć, często używane w sanitariatach i kuchniach. Przy czyszczeniu ważne jest dobranie środka także do fug, które mogą być bardziej wrażliwe niż sama płytka."
płytki kwasoodporne,dozwolone_powierzchnie,"Płytki odporne na działanie kwaśnych środków, używane m.in. w przemyśle, laboratoriach i strefach sanitarnych. Mimo odporności płytek trzeba sprawdzić wytrzymałość fug i elementów metalowych w pobliżu."
ramy okien i drzwi,dozwolone_powierzchnie,"Elementy z PVC, aluminium, drewna lub stali otaczające okna i drzwi. Przy czyszczeniu trzeba dobrać preparat do materiału, aby nie odbarwić, nie zmatowić ani nie uszkodzić uszczelek."
ramy pvc,dozwolone_powierzchnie,"Ramy okienne i drzwiowe z tworzywa PVC, podatne na żółknięcie, matowienie i zarysowania. Do czyszczenia najlepiej stosować preparaty nieścierne, które usuwają brud bez naruszania powierzchni."
reflektory,dozwolone_powierzchnie,"Przezroczyste osłony świateł, najczęściej z tworzywa sztucznego lub szkła, stosowane w pojazdach i urządzeniach. Wymagają delikatnych środków, które nie rysują i nie matowią powierzchni, ponieważ wpływa to na skuteczność oświetlenia."
rurociągi,dozwolone_powierzchnie,"Instalacje transportujące płyny lub półprodukty, często czyszczone w obiegu zamkniętym. Ważne jest usuwanie osadów z wnętrza przewodów bez korozji, pienienia i zatykania instalacji."
samochody,dozwolone_powierzchnie,"Pojazdy składające się z lakieru, szkła, plastiku, gumy, metalu i tapicerki, które wymagają różnych preparatów do różnych stref. Dobór środka powinien chronić lakier, uszczelki i elementy wnętrza przed odbarwieniem lub zmatowieniem."
samochody dostawcze,dozwolone_powierzchnie,"Pojazdy użytkowe z powierzchniami lakierowanymi, szybami, plastikami i elementami metalowymi. Wymagają środków skutecznych na brud drogowy, ale bezpiecznych dla lakieru, uszczelek i oznakowania."
schody,dozwolone_powierzchnie,"Powierzchnie komunikacyjne wykonane m.in. z kamienia, betonu, drewna, płytek lub metalu. Przy czyszczeniu wymagają szczególnej uwagi, ponieważ pozostałości środka lub nadmiar wilgoci mogą zwiększać ryzyko poślizgnięcia."
siedzenia,dozwolone_powierzchnie,"Powierzchnie użytkowe w pojazdach, biurach lub lokalach, wykonane z tkaniny, skóry, ekoskóry albo tworzyw. Wymagają preparatów dopasowanych do materiału, aby usunąć zabrudzenia bez odbarwień, przemoczenia lub pękania powłoki."
silniki,dozwolone_powierzchnie,"Komory i elementy jednostek napędowych zabrudzone olejem, smarem, kurzem i osadami eksploatacyjnymi. Wymagają odtłuszczaczy stosowanych ostrożnie, z ochroną elektroniki i zgodnie z zaleceniami dotyczącymi spłukiwania."
skóra,dozwolone_powierzchnie,"Naturalny materiał stosowany m.in. w tapicerce i elementach wyposażenia, wrażliwy na nadmiar wody, silne alkalia i rozpuszczalniki. Wymaga delikatnych preparatów, które czyszczą bez odbarwień, przesuszenia i pękania."
skóra dłoni,dozwolone_powierzchnie,"Naturalna bariera ochronna rąk narażona na zabrudzenia, detergenty i częste mycie. Preparaty do skóry powinny skutecznie usuwać brud, ale jednocześnie ograniczać przesuszenie i podrażnienia."
skóra licowa,dozwolone_powierzchnie,"Gładka skóra naturalna z widoczną, wykończoną powierzchnią, stosowana m.in. w tapicerce i galanterii. Przy czyszczeniu wymaga łagodnych preparatów, ponieważ silna chemia może usunąć wykończenie lub spowodować przebarwienia."
