product_id,dozwolone_powierzchnie,odradzane_powierzchnie,metoda_mycia,zgodnosc_i_certyfikaty,ostrzezenia_bhp,odczyn_ph
91,"[""tapicerka samochodowa"", ""siedzenia"", ""dywaniki""]",[],"[""ręczne"", ""pianowe""]",[],"[""wykonać próbę wstępną"", ""unikać kontaktu z oczami""]",
92,"[""odporne na kwasy""]","[""aluminium"", ""mosiądz"", ""miedź"", ""brąz""]","[""pianowe"", ""ręczne""]",[],"[""wykonać próbę wstępną"", ""spłukać czystą wodą""]",
93,"[""urządzenia gastronomiczne"", ""urządzenia"", ""czajnik tradycyjny"", ""czajnik elektryczny"", ""ekspresy do kawy"", ""zmywarki"", ""pralki"", ""wyparzarki"", ""bojlery"", ""kotły"", ""parowniki"", ""nagrzewnice""]","[""aluminium"", ""powierzchnie ocynkowane""]",[],[],"[""wykonać próbę wstępną"", ""instrukcja urządzenia""]",
94,"[""odporne na kwasy"", ""zmywarki"", ""wyparzarki"", ""urządzenia gastronomiczne"", ""szkło"", ""naczynia""]",[],[],[],"[""zalecenia producenta"", ""dobrać stężenie"", ""rękawice ochronne"", ""okulary ochronne"", ""karta charakterystyki""]",kwaśny
95,"[""metal"", ""tworzywa sztuczne""]",[],"[""ultradźwiękowe""]","[""biodegradowalny""]",[],lekko zasadowy
96,"[""kuchenki"", ""piekarniki"", ""grille"", ""blaty"", ""zlewozmywaki"", ""płytki"", ""wanny"", ""umywalki"", ""brodziki"", ""stal nierdzewna"", ""naczynia"", ""sprzęt kuchenny""]",[],"[""ręczne""]",[],"[""spłukać czystą wodą"", ""przechowywać 5–25°C""]",
97,"[""karoseria"", ""lakier"", ""powierzchnie ponadpodłogowe""]","[""rozgrzana karoseria""]","[""ręczne"", ""przecieranie ściereczką"", ""pianowe""]","[""IFRA"", ""RSPO""]","[""unikać gorąca i słońca"", ""wykonać próbę wstępną""]",
98,"[""lakier"", ""zewnętrzne powierzchnie pojazdów"", ""wewnętrzne powierzchnie pojazdów"", ""tworzywa sztuczne"", ""winyl""]","[""szyba czołowa"", ""rozgrzane powierzchnie""]","[""ręczne""]",[],"[""unikać szyby czołowej"", ""wykonać próbę wstępną"", ""aplikować na lakier""]",
99,"[""karoseria"", ""lakier""]",[],"[""ręczne"", ""maszynowe""]",[],[],
100,"[""zewnętrzne powierzchnie pojazdów"", ""czyste elementy"", ""porowate powierzchnie""]",[],"[""ręczne"", ""aplikacja gąbką"", ""przecieranie ściereczką""]",[],[],
